# timestamp tx ty tz qx qy qz qw
1753909177.168013 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909177.468098 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909177.734833 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909178.101614 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909178.768480 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909179.069043 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909179.403100 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909179.570142 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909180.437481 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909180.570830 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909180.937533 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909181.504222 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909181.670889 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909182.337523 0.006250 0.008109 -0.028388 0.002545 0.000518 -0.535049 0.844817
1753909182.570834 0.009394 0.000843 -0.028419 0.002566 0.000662 -0.535390 0.844601
1753909183.004247 0.014299 -0.008946 -0.028461 0.002530 0.000834 -0.540139 0.841572
1753909183.304296 0.015453 -0.007598 -0.028452 0.002893 0.000845 -0.574802 0.818287
1753909183.771029 0.015701 -0.008014 -0.028454 0.003063 0.001097 -0.612142 0.790741
1753909184.037721 0.017890 -0.016660 -0.028503 0.002983 0.001175 -0.611208 0.791463
1753909184.537737 0.020601 -0.026655 -0.028562 0.003116 0.001409 -0.618134 0.786065
1753909184.971075 0.019607 -0.024546 -0.028550 0.003345 0.001417 -0.662175 0.749340
1753909185.371106 0.020907 -0.035239 -0.028618 0.003268 0.001385 -0.661501 0.749936
1753909185.904473 0.022888 -0.052628 -0.028735 0.003418 0.001651 -0.661543 0.749898
1753909186.271181 0.022712 -0.054257 -0.028747 0.003718 0.001966 -0.682211 0.731144
1753909186.404527 0.021960 -0.053717 -0.028744 0.003553 0.001875 -0.699238 0.714877
1753909186.771221 0.022188 -0.053099 -0.028739 0.003612 0.001809 -0.708612 0.705587
1753909187.204592 0.021878 -0.065658 -0.028842 0.004395 0.002003 -0.708135 0.706060
1753909187.471275 0.021488 -0.069942 -0.028883 0.004776 0.002023 -0.722730 0.691111
1753909188.371356 0.019056 -0.082082 -0.029015 0.004845 0.002260 -0.759214 0.650819
1753909188.638043 0.018543 -0.085060 -0.029045 0.004781 0.002205 -0.760818 0.648943
1753909189.238521 0.015342 -0.105772 -0.029260 0.004629 0.002428 -0.761152 0.648552
1753909189.639073 0.014203 -0.116762 -0.029364 0.004249 0.002198 -0.759442 0.650558
1753909189.705835 0.013863 -0.119574 -0.029390 0.004249 0.002198 -0.759442 0.650558
1753909190.606508 0.010058 -0.145876 -0.029624 0.003982 0.001627 -0.759221 0.650818
1753909190.673223 0.009603 -0.150911 -0.029664 0.003982 0.001627 -0.759221 0.650818
1753909191.306754 0.007413 -0.167671 -0.029791 0.003671 0.001192 -0.758839 0.651267
1753909191.973558 0.004462 -0.190593 -0.029932 0.003176 0.000599 -0.758027 0.652215
1753909192.107046 0.003983 -0.194148 -0.029952 0.003160 0.000621 -0.757739 0.652550
1753909192.774521 0.000799 -0.214162 -0.030070 0.003368 0.000708 -0.757544 0.652776
1753909193.574774 -0.002398 -0.239374 -0.030234 0.003864 0.000950 -0.756214 0.654313
1753909194.174806 -0.005140 -0.257830 -0.030377 0.004264 0.001726 -0.758453 0.651712
1753909194.308152 -0.005827 -0.263806 -0.030429 0.004320 0.001814 -0.757910 0.652343
1753909194.574838 -0.007010 -0.271606 -0.030506 0.004884 0.002597 -0.757800 0.652464
1753909195.075122 -0.008881 -0.285261 -0.030650 0.004740 0.002441 -0.757758 0.652514
1753909195.308944 -0.010269 -0.294172 -0.030741 0.004463 0.002235 -0.758503 0.651651
1753909196.143787 -0.012703 -0.301963 -0.030803 0.003714 0.001200 -0.799589 0.600534
1753909196.510550 -0.015407 -0.310942 -0.030871 0.003709 0.001131 -0.799377 0.600817
1753909197.310757 -0.022481 -0.336093 -0.031048 0.003145 0.000907 -0.798843 0.601531
1753909197.710860 -0.025734 -0.348357 -0.031123 0.002938 0.000834 -0.799244 0.600999
1753909197.877572 -0.028055 -0.356512 -0.031172 0.002977 0.001050 -0.799141 0.601135
1753909198.444322 -0.031577 -0.369007 -0.031254 0.003228 0.001455 -0.798775 0.601619
1753909198.977718 -0.036620 -0.387620 -0.031391 0.003279 0.001457 -0.798403 0.602113
1753909199.411159 -0.037500 -0.389768 -0.031408 0.003380 0.001495 -0.823025 0.567994
1753909199.544524 -0.037478 -0.389742 -0.031407 0.003399 0.001539 -0.834065 0.551654
1753909200.378307 -0.044936 -0.403760 -0.031529 0.003296 0.001422 -0.853352 0.521323
1753909200.611837 -0.048258 -0.410434 -0.031581 0.003110 0.001388 -0.853550 0.521000
1753909202.045506 -0.068525 -0.450462 -0.031841 0.001395 0.001445 -0.854710 0.519101
1753909202.112181 -0.069939 -0.453212 -0.031853 0.001072 0.001428 -0.854843 0.518883
1753909202.545557 -0.073630 -0.460572 -0.031880 0.000811 0.001702 -0.861222 0.508226
1753909202.712236 -0.073506 -0.460460 -0.031879 0.000985 0.001592 -0.867595 0.497268
1753909203.212279 -0.073873 -0.460765 -0.031881 0.001613 0.001286 -0.901742 0.432270
1753909203.745651 -0.081508 -0.469046 -0.031928 0.001932 0.001160 -0.913696 0.406393
1753909204.479037 -0.096281 -0.485722 -0.032041 0.002203 0.001438 -0.913990 0.405729
1753909204.812386 -0.101601 -0.491665 -0.032082 0.002221 0.001435 -0.912645 0.408745
1753909205.112458 -0.109001 -0.499944 -0.032140 0.002286 0.001221 -0.912947 0.408071
1753909205.712712 -0.121864 -0.514652 -0.032234 0.001824 0.001386 -0.913312 0.407253
1753909205.812749 -0.122665 -0.515853 -0.032240 0.001824 0.001386 -0.913312 0.407253
1753909206.579601 -0.138447 -0.534355 -0.032324 0.001292 0.001093 -0.912851 0.408290
1753909206.846345 -0.141834 -0.538101 -0.032340 0.001292 0.001093 -0.912851 0.408290
1753909207.279770 -0.152729 -0.550675 -0.032402 0.001650 0.001374 -0.912818 0.408361
1753909207.546488 -0.158203 -0.557059 -0.032439 0.001902 0.001353 -0.912825 0.408345
1753909207.813255 -0.165005 -0.565271 -0.032488 0.001902 0.001353 -0.912825 0.408345
1753909208.380502 -0.175450 -0.577281 -0.032564 0.001984 0.001495 -0.912502 0.409066
1753909209.014340 -0.189562 -0.593917 -0.032673 0.002029 0.001601 -0.912220 0.409691
1753909209.547830 -0.200062 -0.605994 -0.032756 0.002063 0.001690 -0.911878 0.410452
1753909210.014630 -0.206874 -0.614050 -0.032815 0.002230 0.001819 -0.911595 0.411079
1753909210.181353 -0.211315 -0.619227 -0.032854 0.002431 0.001808 -0.911836 0.410544
1753909210.981625 -0.229166 -0.640253 -0.033014 0.002352 0.001769 -0.911697 0.410853
1753909211.381953 -0.231163 -0.642440 -0.033031 0.002429 0.001566 -0.927092 0.374824
1753909212.115918 -0.243672 -0.653542 -0.033130 0.002544 0.001545 -0.935640 0.352944
1753909212.282726 -0.247051 -0.656982 -0.033158 0.002566 0.001472 -0.934695 0.355439
1753909212.849878 -0.263518 -0.671887 -0.033298 0.003043 0.001431 -0.934889 0.354925
1753909213.183363 -0.275793 -0.682571 -0.033403 0.002530 0.001251 -0.934876 0.354964
1753909213.883680 -0.294381 -0.700092 -0.033542 0.002435 0.001307 -0.936849 0.349724
1753909214.283864 -0.293978 -0.699748 -0.033539 0.002576 0.001405 -0.953735 0.300635
1753909214.984190 -0.294408 -0.699634 -0.033541 0.003201 0.001387 -0.977952 0.208801
1753909215.050887 -0.294174 -0.699524 -0.033539 0.003228 0.001393 -0.980519 0.196393
1753909215.484421 -0.294013 -0.699379 -0.033538 0.003296 0.001488 -0.989562 0.144063
1753909215.784561 -0.305537 -0.702789 -0.033626 0.003660 0.001566 -0.990303 0.138864
1753909216.184747 -0.319169 -0.706735 -0.033735 0.003699 0.001373 -0.990492 0.137512
1753909216.918421 -0.321731 -0.707317 -0.033755 0.002983 0.001142 -0.996965 0.077782
1753909217.085164 -0.329335 -0.708363 -0.033812 0.004034 0.001054 -0.997036 0.076822
1753909217.618745 -0.352253 -0.711963 -0.034004 0.004207 0.001151 -0.997188 0.074813
1753909217.785490 -0.360773 -0.713449 -0.034078 0.004221 0.000872 -0.997013 0.077112
1753909218.152326 -0.375413 -0.715830 -0.034208 0.004470 0.000802 -0.997056 0.076542
1753909218.752604 -0.399991 -0.719974 -0.034424 0.004113 0.001168 -0.997031 0.076885
1753909219.019395 -0.410749 -0.721908 -0.034516 0.004124 0.001097 -0.997003 0.077246
1753909219.753069 -0.440034 -0.726791 -0.034660 0.001439 0.000848 -0.996931 0.078273
1753909220.386697 -0.462214 -0.730772 -0.034712 0.000666 0.000914 -0.996928 0.078316
1753909220.586790 -0.466529 -0.731557 -0.034719 0.000605 0.000827 -0.996889 0.078806
1753909221.320463 -0.498211 -0.737235 -0.034745 0.000486 0.000762 -0.996840 0.079431
1753909222.054137 -0.529241 -0.742524 -0.034813 0.001418 -0.000085 -0.996870 0.079047
1753909222.454323 -0.546406 -0.745822 -0.034867 0.001758 -0.000644 -0.996777 0.080199
1753909222.887857 -0.560561 -0.749024 -0.034911 0.001515 -0.001097 -0.996819 0.079680
1753909223.154647 -0.574827 -0.751469 -0.034949 0.001748 -0.000376 -0.996847 0.079322
1753909223.754926 -0.597224 -0.755449 -0.035037 0.002190 -0.000171 -0.996836 0.079462
1753909223.921670 -0.603689 -0.756579 -0.035065 0.002090 0.000386 -0.996920 0.078391
1753909224.455251 -0.626833 -0.760622 -0.035163 0.002034 0.000380 -0.996782 0.080138
1753909225.255623 -0.630760 -0.761175 -0.035179 0.001951 0.000260 -0.999998 0.000760
